idx,N,P,K,pH,Umid,POP,RAIN3H,HOLD,Bomba,Motivo,Bomba_on,HOLD_on
14,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
15,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
16,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
17,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
18,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
19,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
20,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
21,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
22,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
23,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
24,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
25,8.3,10,8.3,7.01,0,0,0,OFF,OFF,NA,0,0
26,8.3,10,8.3,5.67,0,0,0,OFF,ON,NA,1,0
27,8.3,10,8.3,5.67,0,0,0,OFF,ON,NA,1,0
28,8.3,10,8.3,5.67,0,0,0,OFF,ON,NA,1,0
29,8.3,10,8.3,5.67,0,0,0,OFF,ON,NA,1,0
30,8.3,10,8.3,5.67,0,0,0,OFF,ON,NA,1,0
32,8.3,10,8.3,5.67,0,70,0,ON,OFF,NA,0,1
33,8.3,10,8.3,5.67,0,70,0,ON,OFF,NA,0,1
35,8.3,10,8.3,5.67,0,70,0,OFF,OFF,NA,0,0
36,8.3,10,8.3,5.67,0,70,0,OFF,OFF,NA,0,0
37,8.3,10,8.3,5.67,0,70,0,OFF,OFF,NA,0,0
39,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
40,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
41,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
42,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
43,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
44,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
45,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
46,8.3,10,8.3,5.67,0,40,0,OFF,ON,NA,1,0
48,8.3,10,8.3,5.67,0,87,0,ON,OFF,NA,0,1
49,8.3,10,8.3,5.67,0,87,0,ON,OFF,NA,0,1
50,8.3,10,8.3,5.67,0,87,0,ON,OFF,NA,0,1
51,8.3,10,8.3,5.67,0,87,0,ON,OFF,NA,0,1
53,8.3,10,8.3,5.67,0,87,0.5,ON,OFF,NA,0,1
54,8.3,10,8.3,5.67,0,87,0.5,ON,OFF,NA,0,1
55,8.3,10,8.3,5.67,0,87,0.5,ON,OFF,NA,0,1
56,8.3,10,8.3,5.67,0,87,0.5,ON,OFF,NA,0,1
58,8.3,10,8.3,5.67,0,87,0.5,OFF,OFF,NA,0,0
59,8.3,10,8.3,5.67,0,87,0.5,OFF,OFF,NA,0,0
60,8.3,10,8.3,5.67,0,87,0.5,OFF,OFF,NA,0,0
61,8.3,10,8.3,5.67,0,87,0.5,OFF,OFF,NA,0,0
62,8.3,10,8.3,5.67,0,87,0.5,OFF,OFF,NA,0,0
64,8.3,10,8.3,5.67,0,20,0.5,OFF,ON,NA,1,0
65,8.3,10,8.3,5.67,0,20,0.5,OFF,ON,NA,1,0
66,8.3,10,8.3,5.67,0,20,0.5,OFF,ON,NA,1,0
67,8.3,10,8.3,5.67,20.3,20,0.5,OFF,ON,NA,1,0
68,8.3,10,8.3,5.67,29.6,20,0.5,OFF,ON,NA,1,0
69,8.3,10,8.3,5.67,60,20,0.5,OFF,ON,NA,1,0
70,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
71,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
72,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
73,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
74,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
75,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
76,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
77,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
78,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
79,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
80,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
81,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
82,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
83,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
84,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
85,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
86,8.3,10,8.3,5.67,94.8,20,0.5,OFF,OFF,NA,0,0
